Gene,Macaque gene name,Mouse gene name
SLC38A11,SLC38A11,Slc38a11
AC013463.2,NA,NA
SCN3A,SCN3A,Scn3a
SCN2A,SCN2A,Scn2a
CSRNP3,CSRNP3,Csrnp3
GALNT3,GALNT3,Galnt3
AC009495.2,NA,NA
AC009495.4,NA,NA
AC009495.3,NA,NA
TTC21B,TTC21B,Ttc21b
AC010127.3,NA,NA
SCN1A,SCN1A,Scn1a
SCN9A,SCN9A,Scn9a
SCN7A,Scn7a,NA
XIRP2,XIRP2,Xirp2
AC074363.1,NA,NA
AC016723.4,NA,NA
B3GALT1,B3GALT1,B3galt1
STK39,STK39,Stk39
CERS6,CERS6,Cers6
NOSTRIN,NA,NA
NOSTRIN,NOSTRIN,Nostrin
SPC25,NA,NA
SPC25,SPC25,Spc25
G6PC2,NA,NA
G6PC2,G6PC2,G6pc2
ABCB11,NA,NA
ABCB11,ABCB11,Abcb11
DHRS9,DHRS9,Dhrs9
BBS5,Bbs5,NA
KLHL41,KLHL41,Klhl41
FASTKD1,FASTKD1,Fastkd1
PPIG,PPIG,Ppig
CCDC173,NA,NA
PHOSPHO2,PHOSPHO2,Phospho2
KLHL23,KLHL23,Klhl23
SSB,Ssb,NA
METTL5,METTL5,Mettl5
UBR3,UBR3,Ubr3
MYO3B,MYO3B,Myo3b
AC012594.1,NA,NA
AC007277.3,NA,NA
LINC01124,NA,NA
SP5,SP5,Sp5
AC007405.4,NA,NA
AC007405.6,NA,NA
ERICH2,ERICH2,Erich2
GAD1,GAD1,Gad1
AC007405.8,NA,NA
GORASP2,GORASP2,Gorasp2
TLK1,TLK1,Tlk1
METTL8,METTL8,Mettl8
DCAF17,DCAF17,Dcaf17
CYBRD1,CYBRD1,Cybrd1
DYNC1I2,DYNC1I2,Dync1i2
SLC25A12,SLC25A12,Slc25a12
HAT1,HAT1,Hat1
METAP1D,METAP1D,Metap1d
DLX1,DLX1,Dlx1
DLX2,DLX2,Dlx2
ITGA6,ITGA6,Itga6
AC078883.4,NA,NA
AC078883.3,NA,NA
AC093818.1,NA,NA
PDK1,PDK1,Pdk1
RAPGEF4-AS1,NA,NA
RAPGEF4,RAPGEF4,Rapgef4
AC013461.1,NA,NA
MLK7-AS1,NA,NA
CDCA7,CDCA7,Cdca7
AC106900.6,NA,NA
SP3,SP3,Sp3
RP11-394I13.2,NA,NA
RP11-394I13.1,NA,NA
OLA1,OLA1,Ola1
LINC01305,NA,NA
CIR1,CIR1,Cir1
SCRN3,SCRN3,Scrn3
GPR155,GPR155,Gpr155
AC010894.3,NA,NA
AC018890.6,NA,NA
WIPF1,WIPF1,Wipf1
CHRNA1,CHRNA1,Chrna1
CHN1,CHN1,Chn1
ATF2,ATF2,Atf2
AC096649.2,NA,NA
ATP5G3,NA,NA
AC096649.3,NA,NA
KIAA1715,NA,NA
HOXD-AS2,NA,NA
HOXD9,HOXD9,Hoxd9
HOXD8,HOXD8,Hoxd8
HOXD3,HOXD3,Hoxd3
AC009336.19,NA,NA
HOXD4,HOXD4,Hoxd4
RP11-387A1.5,NA,NA
HAGLR,NA,NA
HAGLROS,NA,NA
HOXD1,HOXD1,Hoxd1
MTX2,MTX2,Mtx2
RP11-324L17.1,NA,NA
LINC01116,NA,NA
LINC01117,NA,NA
AC092162.1,NA,NA
AC079305.11,NA,NA
AC079305.8,NA,NA
HNRNPA3,HNRNPA3,Hnrnpa3
NFE2L2,NFE2L2,Nfe2l2
AC079305.10,NA,NA
RP11-337N6.2,NA,NA
RP11-337N6.1,NA,NA
AGPS,AGPS,Agps
TTC30B,TTC30B,Ttc30a2
TTC30B,TTC30B,Ttc30b
TTC30B,TTC30B,Ttc30a1
AC073834.3,NA,NA
TTC30A,TTC30A,Ttc30a2
TTC30A,TTC30A,Ttc30b
TTC30A,TTC30A,Ttc30a1
PDE11A,PDE11A,Pde11a
RBM45,RBM45,Rbm45
OSBPL6,OSBPL6,Osbpl6
AC009948.5,NA,NA
PRKRA,Prkra,NA
DFNB59,NA,NA
FKBP7,FKBP7,Fkbp7
PLEKHA3,PLEKHA3,Plekha3
TTN-AS1,NA,NA
TTN,TTN,Ttn
RP11-65L3.4,NA,NA
RP11-65L3.2,NA,NA
RP11-171I2.5,NA,NA
RP11-171I2.2,NA,NA
RP11-171I2.4,NA,NA
RP11-171I2.3,NA,NA
RP11-171I2.1,NA,NA
CCDC141,Ccdc141,NA
SESTD1,SESTD1,Sestd1
ZNF385B,ZNF385B,Zfp385b
CWC22,CWC22,Gm13693
CWC22,CWC22,Gm13697
CWC22,CWC22,Gm13698
CWC22,CWC22,Gm13691
CWC22,CWC22,Cwc22
CWC22,CWC22,Gm13694
CWC22,CWC22,Gm13695
CWC22,CWC22,Gm13696
SCHLAP1,NA,NA
UBE2E3,UBE2E3,Ube2e3
AC104076.3,NA,NA
AC068196.1,NA,NA
AC104820.2,NA,NA
ITGA4,ITGA4,Itga4
CERKL,CERKL,Cerkl
NEUROD1,NEUROD1,Neurod1
AC013733.3,NA,NA
RP11-366L5.1,NA,NA
SSFA2,NA,NA
PPP1R1C,PPP1R1C,Ppp1r1c
PDE1A,PDE1A,Pde1a
DNAJC10,DNAJC10,Dnajc10
FRZB,FRZB,Frzb
NCKAP1,NCKAP1,Nckap1
DUSP19,DUSP19,Dusp19
AC064871.3,NA,NA
NUP35,NUP35,Nup35
RP11-438L19.1,NA,NA
ZNF804A,ZNF804A,Zfp804a
AC007966.1,NA,NA
FSIP2,FSIP2,Fsip2
FSIP2-AS1,NA,NA
LINC01473,NA,NA
RP11-410E4.1,NA,NA
ZC3H15,ZC3H15,Zc3h15
ITGAV,ITGAV,Itgav
AC017101.10,NA,NA
FAM171B,FAM171B,Fam171b
ZSWIM2,ZSWIM2,Zswim2
AC007319.1,NA,NA
CALCRL,CALCRL,Calcrl
TFPI,TFPI,Tfpi
LINC01090,NA,NA
GULP1,GULP1,Gulp1
DIRC1,NA,NA
COL3A1,COL3A1,Col3a1
COL5A2,COL5A2,Col5a2
AC133106.2,NA,NA
WDR75,WDR75,Wdr75
SLC40A1,SLC40A1,Slc40a1
ASNSD1,ASNSD1,Asnsd1
ANKAR,ANKAR,Ankar
OSGEPL1,OSGEPL1,Osgepl1
OSGEPL1-AS1,NA,NA
RP11-455J20.3,NA,NA
ORMDL1,ORMDL1,Ormdl1
PMS1,PMS1,Pms1
C2orf88,C12H2orf88,1700019D03Rik
MSTN,MSTN,Mstn
HIBCH,HIBCH,Hibch
INPP1,INPP1,Inpp1
MFSD6,MFSD6,Mfsd6
RP11-647K16.1,NA,NA
NEMP2,NEMP2,Nemp2
AC093388.3,NA,NA
"NAB1","NAB1",Nab1
AC006460.2,NA,NA
AC005540.3,NA,NA
GLS,GLS,Gls
STAT1,STAT1,Stat1
STAT4,STAT4,Stat4
AC092614.2,NA,NA
MYO1B,MYO1B,Myo1b
"NABP1","NABP1",Nabp1
SDPR,NA,NA
AC098617.1,NA,NA
TMEFF2,TMEFF2,Tmeff2
AC013401.2,NA,NA
PCGEM1,NA,NA
AC018799.1,NA,NA
AC010983.1,NA,NA
AC064834.1,NA,NA
SLC39A10,SLC39A10,Slc39a10
DNAH7,DNAH7,Dnah7b
DNAH7,DNAH7,Dnah7a
DNAH7,DNAH7,Dnah7c
STK17B,STK17B,Stk17b
RP11-347P5.1,NA,NA
HECW2,HECW2,Hecw2
AC020571.3,NA,NA
RP11-369J9.1,NA,NA
CCDC150,CCDC150,Ccdc150
GTF3C3,GTF3C3,Gtf3c3
C2orf66,C2H2orf66,Gm34066
PGAP1,PGAP1,Pgap1
ANKRD44,ANKRD44,Ankrd44
AC013264.2,NA,NA
AC010746.3,NA,NA
SF3B1,SF3B1,Sf3b1
COQ10B,COQ10B,Coq10b
HSPD1,Hspd1,NA
HSPD1,Hspd1,NA
HSPE1,Hspe1-rs1,NA
HSPE1,Hspe1,NA
HSPE1-MOB4,NA,NA
MOB4,MOB4,Mob4
RFTN2,RFTN2,Rftn2
AC011997.1,NA,NA
MARS2,MARS2,Mars2
PLCL1,PLCL1,Plcl1
AC018717.1,NA,NA
SATB2,SATB2,Satb2
RP11-486F17.1,NA,NA
SATB2-AS1,NA,NA
FTCDNL1,FTCDNL1,NA
C2orf69,C12H2orf69,1700066M21Rik
TYW5,TYW5,Tyw5
C2orf47,NA,NA
SPATS2L,SPATS2L,Spats2l
KCTD18,KCTD18,Kctd18
SGOL2,NA,NA
AOX1,AOX1,Aox1
AC007163.3,NA,NA
AC007163.6,NA,NA
BZW1,BZW1,Bzw1
CLK1,CLK1,Clk1
PPIL3,Ppil3,NA
NIF3L1,NIF3L1,Nif3l1
ORC2,ORC2,Orc2
AC005037.3,NA,NA
FAM126B,NA,NA
NDUFB3,NDUFB3,Ndufb3
RP11-13J8.1,NA,NA
CFLAR,CFLAR,Cflar
CFLAR-AS1,NA,NA
CASP10,CASP10,NA
CASP8,CASP8,Casp8
ALS2CR12,NA,NA
TRAK2,TRAK2,Trak2
STRADB,STRADB,Stradb
ALS2CR11,NA,NA
TMEM237,TMEM237,Tmem237
MPP4,MPP4,Mpp4
ALS2,ALS2,Als2
CDK15,CDK15,Cdk15
RP11-107N15.1,NA,NA
FZD7,FZD7,Fzd7
KIAA2012,KIAA2012,Gm973
AC079354.3,NA,NA
AC079354.5,NA,NA
SUMO1,SUMO1,Sumo1
NOP58,NOP58,Nop58
RP11-686O6.1,NA,NA
RP11-686O6.2,NA,NA
BMPR2,BMPR2,Bmpr2
FAM117B,FAM117B,Fam117b
ICA1L,ICA1L,Ica1l
WDR12,WDR12,Wdr12
CARF,CARF,Carf
NBEAL1,NBEAL1,Nbeal1
CYP20A1,CYP20A1,Cyp20a1
ABI2,ABI2,Abi2
RP11-363J17.1,NA,NA
RAPH1,RAPH1,Raph1
CD28,CD28,Cd28
AC009498.1,NA,NA
PARD3B,PARD3B,Pard3b
NRP2,NRP2,Nrp2
INO80D,NA,NA
INO80D,INO80D,Ino80d
AC007383.3,NA,NA
NDUFS1,NA,NA
NDUFS1,NDUFS1,Ndufs1
AC007383.4,NA,NA
EEF1B2,NA,NA
EEF1B2,EEF1B2,Eef1b2
GPR1,NA,NA
ZDBF2,NA,NA
ZDBF2,ZDBF2,Zdbf2
ADAM23,ADAM23,Adam23
AC010731.4,NA,NA
MDH1B,MDH1B,Mdh1b
FASTKD2,FASTKD2,Fastkd2
RP11-95H11.1,NA,NA
AC008269.2,NA,NA
CPO,CPO,NA
KLF7,KLF7,Klf7
AC007879.2,NA,NA
AC007879.4,NA,NA
AC007879.7,NA,NA
AC007879.5,NA,NA
AC007879.6,NA,NA
CREB1,CREB1,Creb1
METTL21A,METTL21A,Mettl21a
AC079767.4,NA,NA
CCNYL1,CCNYL1,Ccnyl1
RP11-801F7.1,NA,NA
FZD5,FZD5,Fzd5
AC096772.6,NA,NA
PLEKHM3,NA,NA
PLEKHM3,PLEKHM3,Plekhm3
CRYGD,NA,NA
CRYGD,CRYGD,NA
CRYGB,CRYGB,Crygb
C2orf80,C12H2orf80,D630023F18Rik
IDH1,IDH1,Idh1
IDH1-AS1,NA,NA
PIKFYVE,PIKFYVE,Pikfyve
PTH2R,PTH2R,Pth2r
MAP2,MAP2,Map2
UNC80,UNC80,Unc80
RPE,Rpe,NA
KANSL1L,KANSL1L,Kansl1l
RP11-260M2.1,NA,NA
AC007038.7,NA,NA
AC006994.2,NA,NA
ACADL,Acadl,NA
AC006994.3,NA,NA
MYL1,MYL1,Myl1
LANCL1-AS1,NA,NA
LANCL1,LANCL1,Lancl1
CPS1,CPS1,Cps1
ERBB4,ERBB4,Erbb4
AC108066.1,NA,NA
IKZF2,IKZF2,Ikzf2
RP11-105N14.1,NA,NA
RP11-105N14.2,NA,NA
AC079610.2,NA,NA
SPAG16,SPAG16,Spag16
AC107218.3,NA,NA
VWC2L,VWC2L,Vwc2l
BARD1,BARD1,Bard1
AC072062.1,NA,NA
ABCA12,ABCA12,Abca12
AC072062.3,NA,NA
AC073284.4,NA,NA
ATIC,ATIC,Atic
FN1,FN1,Fn1
LINC00607,NA,NA
LINC01614,NA,NA
AC093382.1,NA,NA
MREG,Mreg,NA
PECR,PECR,Pecr
TMEM169,TMEM169,Tmem169
XRCC5,XRCC5,Xrcc5
PKI55,NA,NA
MARCH4,NA,NA
AC012513.6,NA,NA
AC069155.1,NA,NA
AC098820.2,NA,NA
SMARCAL1,SMARCAL1,Smarcal1
AC098820.4,NA,NA
RPL37A,RPL37A,Rpl37a
LINC01280,NA,NA
AC073321.4,NA,NA
IGFBP2,IGFBP2,Igfbp2
IGFBP5,IGFBP5,Igfbp5
AC007563.5,NA,NA
AC007563.3,NA,NA
AC007563.1,NA,NA
AC007557.1,NA,NA
RP11-574O16.1,NA,NA
DIRC3,NA,NA
TNS1,TNS1,Tns1
AC010136.2,NA,NA
CXCR2,CXCR2,Cxcr2
ARPC2,ARPC2,Arpc2
GPBAR1,GPBAR1,Gpbar1
AAMP,AAMP,Aamp
PNKD,PNKD,Pnkd
TMBIM1,TMBIM1,Tmbim1
CATIP,CATIP,Catip
SLC11A1,SLC11A1,Slc11a1
CTDSP1,Ctdsp1,NA
RP11-378A13.2,NA,NA
VIL1,VIL1,Vil1
USP37,USP37,Usp37
RQCD1,NA,NA
PLCD4,PLCD4,Plcd4
RP11-548H3.1,NA,NA
ZNF142,ZNF142,Zfp142
BCS1L,BCS1L,Bcs1l
RNF25,RNF25,Rnf25
STK36,STK36,Stk36
TTLL4,TTLL4,Ttll4
CYP27A1,CYP27A1,Cyp27a1
RP11-459I19.1,NA,NA
PRKAG3,PRKAG3,Prkag3
WNT6,WNT6,Wnt6
WNT10A,WNT10A,Wnt10a
LINC01494,NA,NA
AC097468.7,NA,NA
CDK5R2,CDK5R2,Cdk5r2
LINC00608,NA,NA
FEV,FEV,Fev
CRYBA2,CRYBA2,Cryba2
AC097468.4,NA,NA
CFAP65,CFAP65,Cfap65
IHH,IHH,Ihh
RP11-33O4.1,NA,NA
NHEJ1,NHEJ1,Nhej1
RP11-33O4.2,NA,NA
SLC23A3,SLC23A3,Slc23a3
CNPPD1,CNPPD1,Cnppd1
FAM134A,NA,NA
ZFAND2B,ZFAND2B,Zfand2b
ABCB6,ATG9A,Abcb6
ATG9A,Atg9a,NA
ANKZF1,ANKZF1,Ankzf1
GLB1L,GLB1L,Glb1l
STK16,STK16,Stk16
TUBA4A,TUBA4A,Tuba4a
TUBA4B,NA,NA
DNAJB2,DNAJB2,Dnajb2
PTPRN,PTPRN,Ptprn
AC114803.3,NA,NA
RESP18,RESP18,Resp18
DNPEP,DNPEP,Dnpep
AC053503.4,NA,NA
DES,DES,Des
SPEG,SPEG,Speg
AC053503.11,NA,NA
RP11-316O14.1,NA,NA
GMPPA,GMPPA,Gmppa
ASIC4,ASIC4,Asic4
CHPF,CHPF,Chpf
TMEM198,TMEM198,Tmem198
RP11-256I23.1,NA,NA
OBSL1,OBSL1,Obsl1
RP11-256I23.2,NA,NA
INHA,INHA,Inha
STK11IP,STK11IP,Stk11ip
AC009955.8,NA,NA
SLC4A3,Slc4a3,NA
RP11-256I23.3,NA,NA
AC009502.4,NA,NA
EPHA4,EPHA4,Epha4
CTD-2308L22.1,NA,NA
PAX3,PAX3,Pax3
RP11-384O8.1,NA,NA
SGPP2,SGPP2,Sgpp2
RP11-16P6.1,NA,NA
FARSB,FARSB,Farsb
MOGAT1,MOGAT1,Mogat1
ACSL3,ACSL3,Acsl3
AC097461.4,NA,NA
KCNE4,KCNE4,Kcne4
AC013448.1,NA,NA
SCG2,SCG2,Scg2
AP1S3,AP1S3,Ap1s3
WDFY1,WDFY1,Wdfy1
MRPL44,MRPL44,Mrpl44
AC073641.2,NA,NA
SERPINE2,SERPINE2,Serpine2
FAM124B,FAM124B,Fam124b
RP11-92F20.1,NA,NA
CUL3,CUL3,Cul3
DOCK10,DOCK10,Dock10
AC067961.1,NA,NA
NYAP2,NYAP2,Nyap2
RP11-314B1.2,NA,NA
IRS1,IRS1,Irs1
RP11-395N3.2,NA,NA
RHBDD1,RHBDD1,Rhbdd1
COL4A4,COL4A4,Col4a4
COL4A3,COL4A3,Col4a3
AC097662.2,NA,NA
MFF,MFF,Mff
TM4SF20,TM4SF20,Tm4sf20
AGFG1,AGFG1,Agfg1
SLC19A3,SLC19A3,Slc19a3
CCL20,CCL20,Ccl20
DAW1,DAW1,Daw1
SPHKAP,SPHKAP,Sphkap
AC009410.1,NA,NA
PID1,PID1,Pid1
DNER,DNER,Dner
TRIP12,TRIP12,Trip12
FBXO36,FBXO36,Fbxo36
SLC16A14,SLC16A14,Slc16a14
AC009950.2,NA,NA
SP110,SP110,Sp110
SP110,SP110,NA
SP110,SP110,NA
SP110,SP110,NA
SP110,SP110,NA
SP110,SP110,NA
SP110,SP110,NA
SP140,SP140,Sp100
SP140L,NA,NA
SP100,SP100,NA
SP100,SP100,NA
AC098823.3,NA,NA
CAB39,CAB39,Cab39
ITM2C,ITM2C,Itm2c
AC012507.3,NA,NA
SPATA3-AS1,NA,NA
C2orf72,C12H2orf72,2810459M11Rik
PSMD1,PSMD1,Psmd1
HTR2B,HTR2B,Htr2b
ARMC9,ARMC9,Armc9
B3GNT7,B3GNT7,B3gnt7
AC017104.2,NA,NA
NCL,NCL,Ncl
LINC00471,NA,NA
NMUR1,NMUR1,Nmur1
PTMA,NA,NA
PDE6D,PDE6D,Pde6d
COPS7B,COPS7B,Cops7b
NPPC,NPPC,Nppc
DIS3L2,DIS3L2,Dis3l2
ALPP,Alppl2,NA
ALPP,Akp3,NA
ALPP,Alpi,NA
AC068134.6,NA,NA
ECEL1,ECEL1,Ecel1
PRSS56,PRSS56,Prss56
CHRNG,CHRNG,Chrng
TIGD1,TIGD1,NA
EIF4E2,Eif4e2,NA
EIF4E2,EIF4E2,Eif4e2
AC073254.1,NA,NA
EFHD1,EFHD1,Efhd1
GIGYF2,GIGYF2,Gigyf2
KCNJ13,KCNJ13,Kcnj13
C2orf82,NA,NA
NGEF,NGEF,Ngef
INPP5D,NA,NA
INPP5D,INPP5D,Inpp5d
ATG16L1,NA,NA
ATG16L1,ATG16L1,Atg16l1
SAG,NA,NA
SAG,SAG,Sag
RP11-400N9.1,NA,NA
DGKD,NA,NA
DGKD,DGKD,Dgkd
USP40,USP40,Usp40
UGT1A7,Ugt1a9,NA
UGT1A7,Ugt1a10,NA
UGT1A7,Ugt1a8,NA
UGT1A6,Ugt1a6b,NA
UGT1A6,Ugt1a7c,NA
UGT1A6,Ugt1a6a,NA
UGT1A1,UGT1A1,Ugt1a1
HJURP,HJURP,Hjurp
TRPM8,TRPM8,Trpm8
SPP2,SPP2,Spp2
ARL4C,ARL4C,Arl4c
SH3BP4,SH3BP4,Sh3bp4
AGAP1,AGAP1,Agap1
ASB18,Asb18,NA
IQCA1,IQCA1,Iqca
RP11-785G17.1,NA,NA
ACKR3,ACKR3,Ackr3
AC105760.3,NA,NA
AC105760.2,NA,NA
COPS8,COPS8,Cops8
AC112715.2,NA,NA
COL6A3,COL6A3,Col6a3
AC112721.1,NA,NA
AC112721.2,NA,NA
MLPH,MLPH,Mlph
PRLH,PRLH,Prlh
RAB17,RAB17,Rab17
AC104667.3,NA,NA
LRRFIP1,LRRFIP1,Lrrfip1
RBM44,RBM44,Rbm44
RAMP1,RAMP1,Ramp1
UBE2F,UBE2F,Ube2f
UBE2F-SCLY,NA,NA
SCLY,SCLY,Scly
ESPNL,ESPNL,Espnl
KLHL30,KLHL30,Klhl30
FAM132B,NA,NA
ILKAP,ILKAP,Ilkap
HES6,HES6,Hes6
PER2,PER2,Per2
AC012485.2,NA,NA
TRAF3IP1,TRAF3IP1,Traf3ip1
ASB1,ASB1,Asb1
TWIST2,NA,NA
TWIST2,TWIST2,Twist2
HDAC4,HDAC4,Hdac4
AC062017.1,NA,NA
AC093802.1,NA,NA
NDUFA10,NDUFA10,Ndufa10
MYEOV2,NA,NA
OTOS,OTOS,Otos
AC124861.1,NA,NA
GPC1,GPC1,Gpc1
ANKMY1,ANKMY1,Ankmy1
DUSP28,DUSP28,Dusp28
RNPEPL1,RNPEPL1,Rnpepl1
CAPN10-AS1,NA,NA
CAPN10,CAPN10,Capn10
GPR35,GPR35,Gpr35
AQP12B,AQP12,Aqp12
AC011298.2,NA,NA
AQP12A,AQP12,Aqp12
KIF1A,KIF1A,Kif1a
AGXT,AGXT,Agxt
C2orf54,NA,NA
CROCC2,CROCC2,Crocc2
AC104809.2,NA,NA
SNED1,SNED1,Sned1
AC093585.6,NA,NA
AC005237.4,NA,NA
MTERF4,MTERF4,Mterf4
PASK,PASK,Pask
PPP1R7,NA,NA
ANO7,ANO7,Ano7
HDLBP,HDLBP,Hdlbp
SEPT2,NA,NA
FARP2,FARP2,Farp2
STK25,STK25,Stk25
BOK-AS1,NA,NA
BOK,BOK,Bok
RP11-367H1.1,NA,NA
THAP4,THAP4,Thap4
ATG4B,ATG4B,Atg4b
DTYMK,DTYMK,Dtymk
AC133528.2,NA,NA
ING5,ING5,Ing5
D2HGDH,D2HGDH,D2hgdh
AC114730.8,NA,NA
AC114730.7,NA,NA
AC114730.5,NA,NA
AC114730.3,NA,NA
NEU4,NA,NA
NEU4,NEU4,Neu4
AC114730.2,NA,NA
PDCD1,NA,NA
PDCD1,PDCD1,Pdcd1
AC131097.4,NA,NA
AC093642.3,NA,NA
RP11-341N2.1,NA,NA
CHL1,CHL1,Chl1
LINC01266,NA,NA
AC090044.2,NA,NA
AC087430.1,NA,NA
CNTN6,CNTN6,Cntn6
CNTN4,CNTN4,Cntn4
CNTN4-AS1,NA,NA
IL5RA,IL5RA,Il5ra
TRNT1,TRNT1,Trnt1
CRBN,CRBN,Crbn
RP11-97C16.1,NA,NA
AC026188.1,NA,NA
SUMF1,SUMF1,Sumf1
LRRN1,LRRN1,Lrrn1
SETMAR,SETMAR,NA
ITPR1-AS1,NA,NA
ITPR1,ITPR1,Itpr1
EGOT,NA,NA
AC018816.3,NA,NA
BHLHE40-AS1,NA,NA
BHLHE40,BHLHE40,Bhlhe40
ARL8B,ARL8B,Arl8b
AC026202.3,NA,NA
RP11-572B2.1,NA,NA
EDEM1,EDEM1,Edem1
AC027119.1,NA,NA
AC069277.2,NA,NA
GRM7-AS3,NA,NA
GRM7,GRM7,Grm7
GRM7-AS1,NA,NA
RP11-157E16.1,NA,NA
LMCD1-AS1,NA,NA
AC023481.1,NA,NA
LMCD1,LMCD1,Lmcd1
AC034187.2,NA,NA
SSUH2,SSUH2,Ssu2
OXTR,OXTR,Oxtr
RAD18,RAD18,Rad18
SRGAP3,SRGAP3,Srgap3
SRGAP3-AS2,NA,NA
SRGAP3-AS4,NA,NA
RP11-380O24.1,NA,NA
THUMPD3-AS1,NA,NA
THUMPD3,THUMPD3,Thumpd3
SETD5,SETD5,Setd5
LHFPL4,LHFPL4,Lhfpl4
MTMR14,MTMR14,Mtmr14
CPNE9,CPNE9,Cpne9
BRPF1,BRPF1,Brpf1
OGG1,OGG1,Ogg1
CAMK1,CAMK1,Camk1
TADA3,TADA3,Tada3
ARPC4,Arpc4,NA
ARPC4-TTLL3,NA,NA
TTLL3,TTLL3,Ttll3
RP11-266J6.2,NA,NA
RPUSD3,RPUSD3,Rpusd3
CIDEC,CIDEC,Cidec
JAGN1,JAGN1,Jagn1
IL17RE,IL17RE,Il17re
IL17RC,IL17RC,Il17rc
CRELD1,CRELD1,Creld1
PRRT3,PRRT3,Prrt3
PRRT3-AS1,NA,NA
RP11-1020A11.2,NA,NA
EMC3,EMC3,Emc3
AC022007.5,NA,NA
FANCD2,FANCD2,Fancd2
FANCD2OS,FANCD2OS,Fancd2os
BRK1,BRK1,Brk1
VHL,VHL,Vhl
IRAK2,IRAK2,Irak2
TATDN2,TATDN2,Tatdn2
LINC00852,NA,NA
GHRL,GHRL,Ghrl
GHRLOS,NA,NA
SEC13,SEC13,Sec13
ATP2B2,ATP2B2,Atp2b2
SLC6A11,SLC6A11,Slc6a11
SLC6A1,SLC6A1,Slc6a1
HRH1,HRH1,Hrh1
ATG7,ATG7,Atg7
VGLL4,VGLL4,Vgll4
RP11-169K17.4,NA,NA
RP11-169K17.3,NA,NA
TAMM41,NA,NA
TAMM41,TAMM41,Tamm41
SYN2,SYN2,Syn2
TIMP4,TIMP4,Timp4
PPARG,PPARG,Pparg
TSEN2,TSEN2,Tsen2
MKRN2OS,MKRN2OS,Mkrn2os
MKRN2,MKRN2,Mkrn2
RAF1,RAF1,Raf1
TMEM40,TMEM40,Tmem40
CAND2,CAND2,Cand2
RP11-767C1.2,NA,NA
RPL32,RPL32,Rpl32
IQSEC1,IQSEC1,Iqsec1
NUP210,NUP210,Nup210
HDAC11-AS1,NA,NA
HDAC11,HDAC11,Hdac11
FBLN2,FBLN2,Fbln2
WNT7A,WNT7A,Wnt7a
TPRXL,NA,NA
CHCHD4,AU015836,NA
CHCHD4,Chchd4,NA
TMEM43,TMEM43,Tmem43
RP11-434D12.1,NA,NA
AC093495.4,NA,NA
XPC,XPC,Xpc
LSM3,Lsm3,NA
RP11-536I6.2,NA,NA
LINC01267,NA,NA
SLC6A6,SLC6A6,Slc6a6
GRIP2,GRIP2,Grip2
AC090952.5,NA,NA
CCDC174,CCDC174,Ccdc174
C3orf20,C2H3orf20,4930590J08Rik
FGD5,FGD5,Fgd5
FGD5-AS1,NA,NA
NR2C2,NR2C2,Nr2c2
MRPS25,MRPS25,Mrps25
RBSN,RBSN,Rbsn
CAPN7,CAPN7,Capn7
SH3BP5-AS1,NA,NA
SH3BP5,SH3BP5,Sh3bp5
METTL6,METTL6,Mettl6
EAF1,EAF1,Eaf1
EAF1-AS1,NA,NA
COLQ,Colq,NA
HACL1,HACL1,Hacl1
BTD,BTD,Btd
ANKRD28,ANKRD28,Ankrd28
GALNT15,GALNT15,Galnt15
DPH3,DPH3,Dph3
OXNAD1,OXNAD1,Oxnad1
RFTN1,RFTN1,Rftn1
RP11-415F23.2,NA,NA
RP11-415F23.3,NA,NA
RP11-415F23.4,NA,NA
DAZL,DAZL,Dazl
PLCL2,NA,NA
PLCL2,PLCL2,Plcl2
PLCL2-AS1,NA,NA
PLCL2-AS1,NA,NA
TBC1D5,TBC1D5,Tbc1d5
RP11-320G10.1,NA,NA
SATB1,SATB1,Satb1
KCNH8,KCNH8,Kcnh8
EFHB,EFHB,Efhb
RAB5A,RAB5A,Rab5a
PP2D1,PP2D1,Pp2d1
KAT2B,KAT2B,Kat2b
SGOL1,NA,NA
RP11-669C19.1,NA,NA
ZNF385D,ZNF385D,NA
ZNF385D-AS2,NA,NA
UBE2E2-AS1,NA,NA
UBE2E2,UBE2E2,Ube2e2
UBE2E1-AS1,NA,NA
UBE2E1,UBE2E1,Ube2e1
NKIRAS1,NKIRAS1,Nkiras1
RPL15,RPL15,Rpl15
NR1D2,NR1D2,Nr1d2
LINC00691,NA,NA
THRB,THRB,Thrb
RP11-317L10.1,NA,NA
RARB,RARB,Rarb
TOP2B,TOP2B,Top2b
NGLY1,NGLY1,Ngly1
OXSM,OXSM,Oxsm
LRRC3B,LRRC3B,Lrrc3b
NEK10,NEK10,Nek10
SLC4A7,SLC4A7,Slc4a7
RP11-222K16.1,NA,NA
RP11-222K16.2,NA,NA
EOMES,EOMES,Eomes
AC092415.1,NA,NA
CMC1,Cmc1,NA
CMC1,Cmc1,NA
AZI2,AZI2,Azi2
ZCWPW2,ZCWPW2,Zcwpw2
LINC00693,NA,NA
RBMS3-AS3,NA,NA
RBMS3,RBMS3,Rbms3
RBMS3-AS2,NA,NA
AC116035.2,NA,NA
TGFBR2,TGFBR2,Tgfbr2
GADL1,GADL1,Gadl1
STT3B,STT3B,Stt3b
OSBPL10,OSBPL10,Osbpl10
OSBPL10-AS1,NA,NA
ZNF860,NA,NA
